specie,accession,protein_name
acmnpv,NP_054030.1,ptp
acmnpv,NP_054031.1,bro
acmnpv,NP_054032.1,ctx
acmnpv,NP_054033.1,ac4
acmnpv,NP_054034.1,ac5
acmnpv,NP_054035.1,lef2
acmnpv,NP_054036.1,ORF603
acmnpv,NP_054037.1,PH
acmnpv,NP_054038.1,ORF1629
acmnpv,NP_054039.1,pk-1
acmnpv,NP_054040.1,ac11
acmnpv,NP_054041.1,ac12
acmnpv,NP_054042.1,ac13
acmnpv,NP_054043.1,lef1
acmnpv,NP_054044.1,egt
acmnpv,NP_054045.1,ac16
acmnpv,NP_054046.1,ac17
acmnpv,NP_054047.1,ac18
acmnpv,NP_054048.1,ac19
acmnpv,NP_054049.1,ac20
acmnpv,NP_054050.1,ac21
acmnpv,NP_054051.1,ac22
acmnpv,NP_054052.1,env-prot
acmnpv,NP_054053.1,pkip
acmnpv,NP_054054.1,ac25
acmnpv,NP_054055.1,ac26
acmnpv,NP_054056.1,IAP1
acmnpv,NP_054057.1,lef6
acmnpv,NP_054058.1,ac29
acmnpv,NP_054059.1,ac30
acmnpv,NP_054060.1,sod
acmnpv,NP_054061.1,fgf
acmnpv,NP_054062.1,HisP
acmnpv,NP_054063.1,ac34
acmnpv,NP_054064.1,v-ubi
acmnpv,NP_054065.1,39K/pp31
acmnpv,NP_054066.1,lef11
acmnpv,NP_054067.1,ac38
acmnpv,NP_054068.1,p43
acmnpv,NP_054069.1,p47
acmnpv,NP_054070.1,ac41
acmnpv,NP_054071.1,GTA
acmnpv,NP_054072.1,ac43
acmnpv,NP_054073.1,ac44
acmnpv,NP_054074.1,ac45
acmnpv,NP_054075.1,odv-e66
acmnpv,NP_054076.1,ac47
acmnpv,NP_054077.1,ac48
acmnpv,NP_054078.1,pcna
acmnpv,NP_054079.1,lef8
acmnpv,NP_054080.1,ac51
acmnpv,NP_054081.1,ac52
acmnpv,NP_054082.1,ac53
acmnpv,NP_054083.1,lef10
acmnpv,NP_054084.1,ac54
acmnpv,NP_054085.1,ac55
acmnpv,NP_054086.1,ac56
acmnpv,NP_054087.1,ac57
acmnpv,NP_054088.1,ac58
acmnpv,NP_054089.1,ac59
acmnpv,NP_054090.1,ac60
acmnpv,NP_054091.1,FP
acmnpv,NP_054092.1,lef9
acmnpv,NP_054093.1,ac63
acmnpv,NP_054094.1,gp37
acmnpv,NP_054095.1,DNA-pol
acmnpv,NP_054096.1,ac66
acmnpv,NP_054097.1,lef3
acmnpv,NP_054098.1,ac68
acmnpv,NP_054099.1,ac69
acmnpv,NP_054100.1,ac70
acmnpv,NP_054101.1,IAP2
acmnpv,NP_054102.1,ac72
acmnpv,NP_054103.1,ac73
acmnpv,NP_054104.1,ac74
acmnpv,NP_054105.1,ac75
acmnpv,NP_054106.1,ac76
acmnpv,NP_054107.1,vlf-1
acmnpv,NP_054108.1,ac78
acmnpv,NP_054109.1,ac79
acmnpv,NP_054110.1,gp41
acmnpv,NP_054111.1,ac81
acmnpv,NP_054112.1,TLP
acmnpv,NP_054113.1,p95
acmnpv,NP_054114.1,ac84
acmnpv,NP_054115.1,ac85
acmnpv,NP_054116.1,PNK/PNL
acmnpv,NP_054117.1,p15
acmnpv,NP_054118.1,cg30
acmnpv,NP_054119.1,vp39
acmnpv,NP_054120.1,lef4
acmnpv,NP_054121.1,ac91
acmnpv,NP_054122.1,ac92
acmnpv,NP_054123.1,ac93
acmnpv,NP_054124.1,odv-e25
acmnpv,NP_054125.1,helicase
acmnpv,NP_054126.1,ac96
acmnpv,NP_054127.1,ac97
acmnpv,NP_054128.1,38K
acmnpv,NP_054129.1,lef5
acmnpv,NP_054130.1,p6.9
acmnpv,NP_054131.1,p40
acmnpv,NP_054132.1,ac102
acmnpv,NP_054133.1,p48
acmnpv,NP_054134.1,vp80
acmnpv,NP_054135.1,HE65
acmnpv,NP_054136.1,ac106
acmnpv,NP_054137.1,ac107
acmnpv,NP_054138.1,ac108
acmnpv,NP_054139.1,ac109
acmnpv,NP_054140.1,ac110
acmnpv,NP_054141.1,ac111
acmnpv,NP_054142.1,ac112
acmnpv,NP_054143.1,ac113
acmnpv,NP_054144.1,ac114
acmnpv,NP_054145.1,ac115
acmnpv,NP_054146.1,ac116
acmnpv,NP_054147.1,ac117
acmnpv,NP_054148.1,ac118
acmnpv,NP_054149.1,ac119
acmnpv,NP_054150.1,ac120
acmnpv,NP_054151.1,ac121
acmnpv,NP_054152.1,ac122
acmnpv,NP_054153.1,pk-2
acmnpv,NP_054154.1,ac124
acmnpv,NP_054155.1,lef7
acmnpv,NP_054156.1,chitinase
acmnpv,NP_054157.1,v-cath
acmnpv,NP_054158.1,gp64
acmnpv,NP_054159.1,p24
acmnpv,NP_054160.1,gp16
acmnpv,NP_054161.1,PE/pp34
acmnpv,NP_054162.1,ac132
acmnpv,NP_054163.1,alk-exo
acmnpv,NP_054164.1,94K
acmnpv,NP_054165.1,35K/p35
acmnpv,NP_054166.1,p26
acmnpv,NP_054167.1,p10
acmnpv,NP_054168.1,p74
acmnpv,NP_054169.1,ME53
acmnpv,NP_054170.1,ac140
acmnpv,NP_054171.1,IE-01
acmnpv,NP_054172.1,IE-0
acmnpv,NP_054173.1,49K
acmnpv,NP_054174.1,odv-e18
acmnpv,NP_054175.1,odv-ec27
acmnpv,NP_054176.1,ac145
acmnpv,NP_054177.1,ac146
acmnpv,NP_054178.1,IE-1
acmnpv,NP_054179.1,odv-e56
acmnpv,NP_054180.1,ac149
acmnpv,NP_054181.1,ac150
acmnpv,NP_054182.1,IE-2
acmnpv,NP_054183.1,ac152
acmnpv,NP_054184.1,PE38
acmnpv,NP_054185.1,ac154
other,NP_148785.1,cpgv001
other,NP_148786.1,cpgv002
other,NP_148787.1,cpgv003
other,NP_148788.1,cpgv004
other,NP_148789.1,cpgv005
other,NP_148790.1,cpgv006
other,NP_148791.1,cpgv007
other,NP_148792.1,cpgv008
other,NP_148793.1,cpgv009
other,NP_148794.1,cpgv010
other,NP_148795.1,cpgv011
other,NP_148796.1,cpgv012
other,NP_148797.1,cpgv013
other,NP_148798.1,cpgv014
other,NP_148799.1,cpgv015
other,NP_148800.1,cpgv016
other,NP_148801.1,cpgv017
other,NP_148802.1,cpgv018
other,NP_148803.1,cpgv019
other,NP_148804.1,cpgv020
other,NP_148805.1,cpgv021
other,NP_148806.1,cpgv022
other,NP_148807.1,cpgv023
other,NP_148808.1,cpgv024
other,NP_148809.1,cpgv025
other,NP_148810.1,cpgv026
other,NP_148811.1,cpgv027
other,NP_148812.1,cpgv028
other,NP_148813.1,cpgv029
other,NP_148814.1,cpgv030
other,NP_148815.1,cpgv031
other,NP_148816.1,cpgv032
other,NP_148817.1,cpgv033
other,NP_148818.1,cpgv034
other,NP_148819.1,cpgv035
other,NP_148820.1,cpgv036
other,NP_148821.1,cpgv037
other,NP_148822.1,cpgv038
other,NP_148823.1,cpgv039
other,NP_148824.1,cpgv040
other,NP_148825.1,cpgv041
other,NP_148826.1,cpgv042
other,NP_148827.1,cpgv043
other,NP_148828.1,cpgv044
other,NP_148829.1,cpgv045
other,NP_148830.1,cpgv046
other,NP_148831.1,cpgv047
other,NP_148832.1,cpgv048
other,NP_148833.1,cpgv049
other,NP_148834.1,cpgv050
other,NP_148835.1,cpgv051
other,NP_148836.1,cpgv052
other,NP_148837.1,cpgv053
other,NP_148838.1,cpgv054
other,NP_148839.1,cpgv055
other,NP_148840.1,cpgv056
other,NP_148841.1,cpgv057
other,NP_148842.1,cpgv058
other,NP_148843.1,cpgv059
other,NP_148844.1,cpgv060
other,NP_148845.1,cpgv061
other,NP_148846.1,cpgv062
other,NP_148847.1,cpgv063
other,NP_148848.1,cpgv064
other,NP_148849.1,cpgv065
other,NP_148850.1,cpgv066
other,NP_148851.1,cpgv067
other,NP_148852.1,cpgv068
other,NP_148853.1,cpgv069
other,NP_148854.1,cpgv070
other,NP_148855.1,cpgv071
other,NP_148856.1,cpgv072
other,NP_148857.1,cpgv073
other,NP_148858.1,cpgv074
other,NP_148859.1,cpgv075
other,NP_148860.1,cpgv076
other,NP_148861.1,cpgv077
other,NP_148862.1,cpgv078
other,NP_148863.1,cpgv079
other,NP_148864.1,cpgv080
other,NP_148865.1,cpgv081
other,NP_148866.1,cpgv082
other,NP_148867.1,cpgv083
other,NP_148868.1,cpgv084
other,NP_148869.1,cpgv085
other,NP_148870.1,cpgv086
other,NP_148871.1,cpgv087
other,NP_148872.1,cpgv088
other,NP_148873.1,cpgv089
other,NP_148874.1,cpgv090
other,NP_148875.1,cpgv091
other,NP_148876.1,cpgv092
other,NP_148877.1,cpgv093
other,NP_148878.1,cpgv094
other,NP_148879.1,cpgv095
other,NP_148880.1,cpgv096
other,NP_148881.1,cpgv097
other,NP_148882.1,cpgv098
other,NP_148883.1,cpgv099
other,NP_148884.1,cpgv100
other,NP_148885.1,cpgv101
other,NP_148886.1,cpgv102
other,NP_148887.1,cpgv103
other,NP_148888.1,cpgv104
other,NP_148889.1,cpgv105
other,NP_148890.1,cpgv106
other,NP_148891.1,cpgv107
other,NP_148892.1,cpgv108
other,NP_148893.1,cpgv109
other,NP_148894.1,cpgv110
other,NP_148895.1,cpgv111
other,NP_148896.1,cpgv112
other,NP_148897.1,cpgv113
other,NP_148898.1,cpgv114
other,NP_148899.1,cpgv115
other,NP_148900.1,cpgv116
other,NP_148901.1,cpgv117
other,NP_148902.1,cpgv118
other,NP_148903.1,cpgv119
other,NP_148904.1,cpgv120
other,NP_148905.1,cpgv121
other,NP_148906.1,cpgv122
other,NP_148907.1,cpgv123
other,NP_148908.1,cpgv124
other,NP_148909.1,cpgv125
other,NP_148910.1,cpgv126
other,NP_148911.1,cpgv127
other,NP_148912.1,cpgv128
other,NP_148913.1,cpgv129
other,NP_148914.1,cpgv130
other,NP_148915.1,cpgv131
other,NP_148916.1,cpgv132
other,NP_148917.1,cpgv133
other,NP_148918.1,cpgv134
other,NP_148919.1,cpgv135
other,NP_148920.1,cpgv136
other,NP_148921.1,cpgv137
other,NP_148922.1,cpgv138
other,NP_148923.1,cpgv139
other,NP_148924.1,cpgv140
other,NP_148925.1,cpgv141
other,NP_148926.1,cpgv142
other,NP_148927.1,cpgv143
